checkpoint_fold,train_index,sample_id,video_id,outer_fold,judge_fold,inner_valid_outer0,inner_valid_outer1,label,self_risk_role
0,0,-3g5yACwYnA$_$10,-3g5yACwYnA,0,1,0,1,1,inner_valid
0,1,-3g5yACwYnA$_$13,-3g5yACwYnA,0,1,0,1,0.6666666865,inner_valid
0,2,-3g5yACwYnA$_$3,-3g5yACwYnA,0,1,0,1,0,inner_valid
0,3,-3g5yACwYnA$_$2,-3g5yACwYnA,0,1,0,1,0,inner_valid
0,4,-3g5yACwYnA$_$4,-3g5yACwYnA,0,1,0,1,1,inner_valid
0,5,-3g5yACwYnA$_$9,-3g5yACwYnA,0,1,0,1,0.6666666865,inner_valid
0,6,-3nNcZdcdvU$_$0,-3nNcZdcdvU,0,1,1,0,0.3333333433,inner_valid
0,7,-3nNcZdcdvU$_$2,-3nNcZdcdvU,0,1,1,0,1,inner_valid
0,8,-3nNcZdcdvU$_$5,-3nNcZdcdvU,0,1,1,0,0,inner_valid
0,19,-NFrJFQijFE$_$1,-NFrJFQijFE,0,0,0,0,0.3333333433,outer
0,20,-NFrJFQijFE$_$8,-NFrJFQijFE,0,0,0,0,0.3333333433,outer
0,21,-NFrJFQijFE$_$2,-NFrJFQijFE,0,0,0,0,0,outer
0,22,-NFrJFQijFE$_$0,-NFrJFQijFE,0,0,0,0,0,outer
0,23,-THoVjtIkeU$_$11,-THoVjtIkeU,0,1,0,0,2.333333254,inner_train
0,24,-THoVjtIkeU$_$10,-THoVjtIkeU,0,1,0,0,-0.3333333433,inner_train
0,25,-THoVjtIkeU$_$12,-THoVjtIkeU,0,1,0,0,2,inner_train
0,26,-THoVjtIkeU$_$1,-THoVjtIkeU,0,1,0,0,1.666666627,inner_train
0,27,-THoVjtIkeU$_$0,-THoVjtIkeU,0,1,0,0,1.666666627,inner_train
0,28,-THoVjtIkeU$_$2,-THoVjtIkeU,0,1,0,0,1.333333373,inner_train
0,29,-THoVjtIkeU$_$6,-THoVjtIkeU,0,1,0,0,2.666666746,inner_train
0,30,-THoVjtIkeU$_$8,-THoVjtIkeU,0,1,0,0,1,inner_train
0,31,-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,1,0,0,1.666666627,inner_train
0,32,-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,1,0,0,2.666666746,inner_train
0,33,-UuX1xuaiiE$_$3,-UuX1xuaiiE,0,1,0,0,0.3333333433,inner_train
0,34,-UuX1xuaiiE$_$2,-UuX1xuaiiE,0,1,0,0,1.666666627,inner_train
0,35,-UuX1xuaiiE$_$5,-UuX1xuaiiE,0,1,0,0,1,inner_train
0,36,-UuX1xuaiiE$_$4,-UuX1xuaiiE,0,1,0,0,2,inner_train
0,37,-UuX1xuaiiE$_$7,-UuX1xuaiiE,0,1,0,0,-1.333333373,inner_train
0,38,-UuX1xuaiiE$_$6,-UuX1xuaiiE,0,1,0,0,-0.3333333433,inner_train
0,39,-UuX1xuaiiE$_$9,-UuX1xuaiiE,0,1,0,0,0.6666666865,inner_train
0,40,-UuX1xuaiiE$_$8,-UuX1xuaiiE,0,1,0,0,1.666666627,inner_train
0,46,-ZgjBOA1Yhw$_$1,-ZgjBOA1Yhw,0,0,0,0,-0.3333333433,inner_train
0,47,-ZgjBOA1Yhw$_$2,-ZgjBOA1Yhw,0,0,0,0,-0.6666666865,inner_train
0,48,-ZgjBOA1Yhw$_$5,-ZgjBOA1Yhw,0,0,0,0,0.3333333433,inner_train
0,49,-ZgjBOA1Yhw$_$4,-ZgjBOA1Yhw,0,0,0,0,-0.3333333433,inner_train
0,50,-ZgjBOA1Yhw$_$7,-ZgjBOA1Yhw,0,0,0,0,0.3333333433,inner_train
0,51,-ZgjBOA1Yhw$_$8,-ZgjBOA1Yhw,0,0,0,0,0,inner_train
0,52,-a55Q6RWvTA$_$3,-a55Q6RWvTA,0,0,0,0,0.6666666865,outer
0,66,-egA8-b7-3M$_$24,-egA8-b7-3M,0,1,0,1,1.333333373,inner_train
0,67,-egA8-b7-3M$_$10,-egA8-b7-3M,0,1,0,1,0.3333333433,inner_train
0,68,-egA8-b7-3M$_$26,-egA8-b7-3M,0,1,0,1,1.666666627,inner_train
