direction	role	mode	teacher	MAE	Corr
A	inner_train	LAV	Equal Teacher	0.5506591537	0.7547565799945832
A	inner_train	LAV	Hard select-one Oracle	0.4007799307	NA
A	inner_train	LAV	Fixed Teacher l2=0.0	0.550774732	0.7550543676277345
A	inner_train	LAV	Fixed Teacher l2=0.001	0.5507639375	0.7550480327641845
A	inner_train	LAV	Fixed Teacher l2=0.01	0.5507117179	0.7549993887388268
A	inner_train	LAV	Soft-Oracle final tau=0.02	0.4011721682	0.8440366467946429
A	inner_train	LAV	Soft-Oracle final tau=0.05	0.411315081	0.8387574661959599
A	inner_train	LAV	Soft-Oracle final tau=0.1	0.4343416777	0.8275275669546504
A	inner_train	LAV	Soft-Oracle final tau=0.2	0.4684562258	0.8097549856700055
A	inner_train	LA	Equal Teacher	0.5519736318	0.7537020012068695
A	inner_train	LA	Hard select-one Oracle	0.4029744947	NA
A	inner_train	LA	Fixed Teacher l2=0.0	0.5520407047	0.7540712138396506
A	inner_train	LA	Fixed Teacher l2=0.001	0.5520326571	0.754063382523403
A	inner_train	LA	Fixed Teacher l2=0.01	0.5519909563	0.7540049359973777
A	inner_train	LA	Soft-Oracle final tau=0.02	0.403532218	0.8432925138668158
A	inner_train	LA	Soft-Oracle final tau=0.05	0.4138332356	0.8379099511913303
A	inner_train	LA	Soft-Oracle final tau=0.1	0.4369616539	0.8265106149466686
A	inner_train	LA	Soft-Oracle final tau=0.2	0.470839352	0.8086355271232565
A	inner_train	LV	Equal Teacher	0.5506713545	0.7545927331820365
A	inner_train	LV	Hard select-one Oracle	0.4017259457	NA
A	inner_train	LV	Fixed Teacher l2=0.0	0.5508366442	0.7548354121801458
A	inner_train	LV	Fixed Teacher l2=0.001	0.5508257374	0.7548298350749238
A	inner_train	LV	Fixed Teacher l2=0.01	0.5507674871	0.7547864537792244
A	inner_train	LV	Soft-Oracle final tau=0.02	0.4021749812	0.8438395252157666
A	inner_train	LV	Soft-Oracle final tau=0.05	0.4124659188	0.8385337676674061
A	inner_train	LV	Soft-Oracle final tau=0.1	0.4355053004	0.8272552068535038
A	inner_train	LV	Soft-Oracle final tau=0.2	0.4693242482	0.8094998856576652
A	inner_train	L	Equal Teacher	0.5520669584	0.7535569205124782
A	inner_train	L	Hard select-one Oracle	0.4036655945	NA
A	inner_train	L	Fixed Teacher l2=0.0	0.5521736705	0.7538547652497081
A	inner_train	L	Fixed Teacher l2=0.001	0.5521651534	0.7538481488450576
A	inner_train	L	Fixed Teacher l2=0.01	0.5521164596	0.7537984107124489
A	inner_train	L	Soft-Oracle final tau=0.02	0.4042323102	0.8431576417918795
A	inner_train	L	Soft-Oracle final tau=0.05	0.4146491855	0.8377569622740859
A	inner_train	L	Soft-Oracle final tau=0.1	0.4378544245	0.8263200249803588
A	inner_train	L	Soft-Oracle final tau=0.2	0.4715155014	0.8084543892144982
A	inner_train	Overall	Equal Teacher	0.5513427746	0.7541435179129474
A	inner_train	Overall	Hard select-one Oracle	0.4022864914	NA
A	inner_train	Overall	Fixed Teacher l2=0.0	0.5514564379	0.7544473010771294
A	inner_train	Overall	Fixed Teacher l2=0.001	0.5514468713	0.7544406401389697
A	inner_train	Overall	Fixed Teacher l2=0.01	0.5513966552	0.7543901732561519
A	inner_train	Overall	Soft-Oracle final tau=0.02	0.4027779194	0.8435755127355298
A	inner_train	Overall	Soft-Oracle final tau=0.05	0.4130658552	0.8382335864253981
A	inner_train	Overall	Soft-Oracle final tau=0.1	0.4361657641	0.8268972802373372
A	inner_train	Overall	Soft-Oracle final tau=0.2	0.4700338319	0.8090796139970344
A	inner_valid	LAV	Equal Teacher	0.5803295313	0.7856951482851091
A	inner_valid	LAV	Hard select-one Oracle	0.4228633867	NA
A	inner_valid	LAV	Fixed Teacher l2=0.0	0.579468214	0.7865488212256702
A	inner_valid	LAV	Fixed Teacher l2=0.001	0.5794940822	0.7865098191308152
A	inner_valid	LAV	Fixed Teacher l2=0.01	0.5796475524	0.7862735555900974
A	inner_valid	LAV	Soft-Oracle final tau=0.02	0.423290575	0.8640242549835686
A	inner_valid	LAV	Soft-Oracle final tau=0.05	0.4335328267	0.8594492160201354
A	inner_valid	LAV	Soft-Oracle final tau=0.1	0.4574875264	0.8493961656387169
A	inner_valid	LAV	Soft-Oracle final tau=0.2	0.4934868386	0.8334672065951655
A	inner_valid	LA	Equal Teacher	0.582866934	0.7842412327776472
A	inner_valid	LA	Hard select-one Oracle	0.4258376192	NA
A	inner_valid	LA	Fixed Teacher l2=0.0	0.5819369066	0.7850171426758067
A	inner_valid	LA	Fixed Teacher l2=0.001	0.5819615924	0.784983588741122
A	inner_valid	LA	Fixed Teacher l2=0.01	0.5821135574	0.7847806820547812
A	inner_valid	LA	Soft-Oracle final tau=0.02	0.4266389985	0.8627864337642955
A	inner_valid	LA	Soft-Oracle final tau=0.05	0.436812862	0.8582068360369444
A	inner_valid	LA	Soft-Oracle final tau=0.1	0.4608724424	0.8479466364433089
A	inner_valid	LA	Soft-Oracle final tau=0.2	0.4967726318	0.8319168544637002
A	inner_valid	LV	Equal Teacher	0.5807503496	0.785339810545982
A	inner_valid	LV	Hard select-one Oracle	0.4240095209	NA
A	inner_valid	LV	Fixed Teacher l2=0.0	0.5799523333	0.7861988815206364
A	inner_valid	LV	Fixed Teacher l2=0.001	0.5799767681	0.7861595978230098
A	inner_valid	LV	Fixed Teacher l2=0.01	0.5801601827	0.7859210950272444
A	inner_valid	LV	Soft-Oracle final tau=0.02	0.4249346185	0.8635459320981966
