finding_id	finding	file	line_start	line_end	evidence_type	confidence
F001	正式 seeds 为 1111–1115，stage 顺序为 clean/moddrop/compatibility/cfcompat	scripts/mosei/stage10_common.py	11	24	source	HIGH
F002	launcher 强制正式 seeds、GPU3、clean worktree、data/config/test gate 后 detached supervisor	scripts/mosei/launch_stage10_async.py	102	201	source	HIGH
F003	supervisor 启动 worker，等待全部 worker 成功后才启动 coordinator	scripts/mosei/stage10_supervisor.py	28	107	source	HIGH
F004	worker 对 seed 和 stage 双层串行循环，记录 start/end sentinel，并将物理 GPU 映射为内部 GPU0	scripts/mosei/stage10_worker.py	38	131	source	HIGH
F005	stage router 分派四个实际阶段	scripts/mosei/stage10_train.py	620	635	source	HIGH
F006	clean 每 train microbatch 一次 Student forward、一次 backward，按 update_epochs step	scripts/mosei/stage10_train.py	201	230	source	HIGH
F007	clean 每 epoch 只做 Official Valid；no_grad；预测和 loss 转 CPU/Python	scripts/mosei/stage10_train.py	139	155	source	HIGH
F008	ModDrop 从同 seed clean checkpoint 初始化	scripts/mosei/stage10_train.py	255	270	source	HIGH
F009	ModDrop 每 microbatch 做 LAV 与一个随机 missing view 两次 Student forward	scripts/mosei/stage10_train.py	281	321	source	HIGH
F010	missing validation 对 LAV/LA/LV/L 串行执行四次完整 forward	scripts/mosei/stage10_train.py	158	183	source	HIGH
F011	compatibility 使用冻结 ModDrop evaluator，只构造 train loader，输出 train-only cache	scripts/mosei/stage10_train.py	356	411	source	HIGH
F012	CFCompat 校验 clean/evaluator/cache SHA，并检查 cache 行数与 sample_index 唯一性	scripts/mosei/stage10_train.py	447	479	source	HIGH
F013	CFCompat teacher 与 student 均由 clean checkpoint 构造，teacher 不进入 optimizer	scripts/mosei/stage10_train.py	480	500	source	HIGH
F014	CFCompat 每 microbatch 两次 Student forward、一次在线 Teacher forward、一次 backward	scripts/mosei/stage10_train.py	515	545	source	HIGH
F015	梯度累积没有将 loss 除以 update_epochs	scripts/mosei/stage10_train.py	521	553	source	HIGH
F016	epoch 尾部不足累积周期的梯度仍会 step，不丢失	scripts/mosei/stage10_train.py	557	560	source	HIGH
F017	CFCompat 每 epoch 四模式 Valid，scheduler 以 validation J 每 epoch 更新	scripts/mosei/stage10_train.py	561	580	source	HIGH
F018	CFCompat 训练后重新加载 best checkpoint 并额外生成一遍四模式 valid predictions	scripts/mosei/stage10_train.py	585	597	source	HIGH
F019	best 改善时覆盖保存 state_dict，不保存 last/epoch-N	scripts/mosei/stage10_train.py	578	580	source	HIGH
