direction	case	seed	role	selected_alpha_inner_valid_only	regret_MAE	regret_Spearman	ranking_accuracy	soft_preference_KL	soft_expected_regret
A	no_content	-1	inner_train	100	0.1185753741	0.3347655598	0.1083288518	0.2682665733	0.1601650862
A	no_content	-1	inner_valid	100	0.123756793	0.3277131269	0.1048903108	0.2885256216	0.168559911
A	no_content	-1	outer_evaluation	100	0.1239687877	0.3402530537	0.1532909931	0.2889098054	0.1686886663
A	aligned_content	-1	inner_train	100	0.1183256796	0.3365751857	0.1306802904	0.2676810818	0.1595656982
A	aligned_content	-1	inner_valid	100	0.1237671886	0.3281942018	0.1304844607	0.2889727613	0.1683187151
A	aligned_content	-1	outer_evaluation	100	0.1241640928	0.3376740864	0.1589363613	0.2900818571	0.1686697505
A	cross_source_shuffle	23021	inner_train	100	0.11851166	0.3348189539	0.1176727615	0.2680841219	0.1599810694
A	cross_source_shuffle	23021	inner_valid	100	0.1239008352	0.3255151937	0.1135740402	0.2894057264	0.168537748
A	cross_source_shuffle	23021	outer_evaluation	100	0.1240846123	0.3391099815	0.1534513729	0.289662452	0.168680559
A	cross_source_shuffle	23022	inner_train	100	0.1184909918	0.3353837644	0.1175719279	0.2679818937	0.1599582476
A	cross_source_shuffle	23022	inner_valid	100	0.1239093215	0.3248234342	0.1103747715	0.2894652154	0.1685578836
A	cross_source_shuffle	23022	outer_evaluation	100	0.124124648	0.3379707604	0.1535476007	0.2899991869	0.1687420934
A	cross_source_shuffle	23023	inner_train	100	0.1184072768	0.3359308413	0.1227480506	0.2677064911	0.1597637127
A	cross_source_shuffle	23023	inner_valid	100	0.1240396167	0.3232768314	0.1229433272	0.2905064385	0.1685364105
A	cross_source_shuffle	23023	outer_evaluation	100	0.1242496148	0.3370138394	0.1547023351	0.2907440486	0.1687719204
A	matched_noise	23121	inner_train	100	0.1185086388	0.3350868655	0.1182105405	0.2680771502	0.1600000016
A	matched_noise	23121	inner_valid	100	0.123778317	0.3268872553	0.1138025594	0.2890203968	0.1685469715
A	matched_noise	23121	outer_evaluation	100	0.1240609221	0.3390610032	0.1548627149	0.2895164168	0.1686806264
A	matched_noise	23122	inner_train	100	0.1185375993	0.335013996	0.1185130411	0.2681391261	0.1600230395
A	matched_noise	23122	inner_valid	100	0.1238058238	0.3262134514	0.1094606947	0.2892195304	0.1685508351
A	matched_noise	23122	outer_evaluation	100	0.1240288526	0.3393845534	0.1552155504	0.2894108456	0.1686748341
A	matched_noise	23123	inner_train	100	0.118524898	0.3349579914	0.117403872	0.2681068963	0.1600308483
A	matched_noise	23123	inner_valid	100	0.1238145988	0.327000309	0.103976234	0.2891803279	0.1685884088
A	matched_noise	23123	outer_evaluation	100	0.1240407125	0.3390433155	0.156274057	0.2895008764	0.1687123785
B	no_content	-1	inner_train	0.1	0.1231350454	0.3389991786	0.1035626713	0.2755397641	0.1668475248
B	no_content	-1	inner_valid	0.1	0.1207099665	0.3433111271	0.1103368177	0.2720792479	0.1654137796
B	no_content	-1	outer_evaluation	0.1	0.1196161083	0.3263006387	0.1470053915	0.2572849156	0.16214084
B	aligned_content	-1	inner_train	0.1	0.1227524763	0.3417516765	0.1267128227	0.2745568975	0.1661398526
B	aligned_content	-1	inner_valid	0.1	0.12043787	0.3464855077	0.1263066202	0.271915441	0.1648447198
B	aligned_content	-1	outer_evaluation	0.1	0.1201242813	0.3184652029	0.1619491327	0.2594675623	0.1621576767
B	cross_source_shuffle	23021	inner_train	0.1	0.1230915168	0.3391709646	0.1098370114	0.2753419849	0.1667054962
B	cross_source_shuffle	23021	inner_valid	0.1	0.1207073567	0.3436859143	0.1141114983	0.2724644714	0.1653362455
B	cross_source_shuffle	23021	outer_evaluation	0.1	0.1196941155	0.3245131209	0.1501113455	0.257817305	0.1621163793
B	cross_source_shuffle	23022	inner_train	0.1	0.1229472771	0.3410198506	0.1289845666	0.2749058996	0.1664239073
B	cross_source_shuffle	23022	inner_valid	0.1	0.1208715014	0.3404632448	0.1114982578	0.2740863192	0.1653739265
B	cross_source_shuffle	23022	outer_evaluation	0.1	0.1198028829	0.3235513578	0.1589896859	0.258169819	0.1620574939
B	cross_source_shuffle	23023	inner_train	0.1	0.1231000098	0.3392478821	0.1110990913	0.2753854223	0.1667130465
B	cross_source_shuffle	23023	inner_valid	0.1	0.1207080892	0.3438387578	0.1170150987	0.2721675684	0.1653426479
B	cross_source_shuffle	23023	outer_evaluation	0.1	0.1196945316	0.3249894889	0.1497890295	0.2577916941	0.1621790996
B	matched_noise	23121	inner_train	0.1	0.1230986383	0.3391451825	0.1087191692	0.2753308478	0.1666991124
B	matched_noise	23121	inner_valid	0.1	0.120836887	0.3417128227	0.1135307782	0.2727166863	0.1654753926
B	matched_noise	23121	outer_evaluation	0.1	0.1197035174	0.3247228877	0.1482067511	0.2577715242	0.1621341653
B	matched_noise	23122	inner_train	0.1	0.123091412	0.3393094479	0.1112072696	0.2753167664	0.1667067715
B	matched_noise	23122	inner_valid	0.1	0.120733664	0.3430611291	0.119047619	0.2724542269	0.1654068036
B	matched_noise	23122	outer_evaluation	0.1	0.1197195166	0.3245204609	0.1495839194	0.257759717	0.1621338381
B	matched_noise	23123	inner_train	0.1	0.1230501725	0.3395456429	0.1151016876	0.2751638288	0.1666145776
B	matched_noise	23123	inner_valid	0.1	0.1208669356	0.3410403835	0.119047619	0.2728799166	0.1654883194
B	matched_noise	23123	outer_evaluation	0.1	0.1197785539	0.3233245402	0.150726676	0.2582167592	0.1621567656
